dataset,eta,beta,gamma
coauth-dblp,0.489,0.436,0.44
coauth-mag-geology,0.364,0.57,0.581
coauth-mag-history,0.287,0.242,0.101
congress-bills,0.307,0.069,1.486
contact-high-school,0.895,0.067,0.046
contact-primary-school,0.846,0.067,0.106
dawn,0.624,0.066,0.087
diseasome,0.086,0.067,0.526
email-enron,0.795,0.079,0.114
email-eu,0.823,0.069,0.098
hospital-lyon,0.877,0.066,0.074
hypertext-conference,0.814,0.066,0.13
invs13,0.863,0.066,0.079
invs15,0.879,0.066,0.066
kaggle-whats-cooking,0.39,0.212,4.518
malawi-village,0.929,0.066,0.014
ndc-classes,0.917,0.073,0.029
ndc-substances,0.676,0.081,0.133
science-gallery,0.812,0.067,0.116
sfhh-conference,0.776,0.066,0.174
tags-ask-ubuntu,0.564,0.075,0.516
tags-math-sx,0.699,0.067,0.195
tags-stack-overflow,0.703,0.069,0.348
threads-ask-ubuntu,0.083,0.49,0.438
threads-math-sx,0.169,0.251,0.772
threads-stack-overflow,0.108,0.234,0.925
